caseID,boarded,budget,memberCount,preferredClass,sex,age
111131089,0,2201,0,FIRST_AC,female,2
2489059216,0,1775,3,FIRST_AC,male,0
1565109576,1,1775,3,FIRST_AC,female,0
1373075087,1,1775,3,FIRST_AC,male,3
1598041082,1,1775,3,FIRST_AC,female,2
3825576434,0,852,0,FIRST_AC,male,4
644658844,0,1207,1,FIRST_AC,female,6
688816386,1,710,0,FIRST_AC,male,3
4255374887,0,1065,2,FIRST_AC,female,5
2728642656,1,994,0,FIRST_AC,male,7
405893896,1,2272,1,FIRST_AC,male,4
2034441712,0,2272,1,FIRST_AC,female,1
751662760,0,1136,0,FIRST_AC,female,2
1680934258,0,1207,0,FIRST_AC,female,2
960078707,0,923,0,FIRST_AC,male,8
3227368300,1,852,0,FIRST_AC,male,0
1014277769,1,2414,1,FIRST_AC,male,2
2248693767,0,2414,1,FIRST_AC,female,5
483498626,0,1207,0,FIRST_AC,female,3
2106429192,1,1207,0,FIRST_AC,male,3
43617165,0,1065,2,FIRST_AC,male,3
2071717196,0,1065,2,FIRST_AC,female,4
694475358,0,923,0,FIRST_AC,male,2
1229420300,0,2272,0,FIRST_AC,female,4
4022477925,0,2272,0,FIRST_AC,female,2
249813391,1,852,0,FIRST_AC,male,2
420123847,0,1349,1,FIRST_AC,male,2
3918871116,0,1349,1,FIRST_AC,female,1
3442159725,0,1633,0,FIRST_AC,female,3
1461749673,0,852,0,FIRST_AC,male,2
2096098264,1,923,0,FIRST_AC,male,4
807101454,0,923,0,FIRST_AC,male,4
3820192239,0,1846,0,FIRST_AC,female,3
1238282549,0,852,0,FIRST_AC,female,5
3095411035,1,852,0,FIRST_AC,male,4
3378049172,0,2556,0,FIRST_AC,female,4
2192339981,0,1065,1,FIRST_AC,female,2
1615186814,0,852,0,FIRST_AC,male,0
35224062,1,923,0,FIRST_AC,male,4
3145420116,1,1065,0,FIRST_AC,male,4
2971403894,1,923,0,FIRST_AC,male,0
172444479,0,852,0,FIRST_AC,female,4
541985474,0,1065,2,FIRST_AC,female,5
1647741975,0,1207,0,FIRST_AC,female,6
2835020383,0,1633,0,FIRST_AC,female,4
4144594636,1,852,0,FIRST_AC,male,4
290300466,1,923,0,FIRST_AC,male,0
4065572238,0,852,0,FIRST_AC,male,4
1102137377,0,852,0,FIRST_AC,female,5
457799785,0,4331,1,FIRST_AC,male,3
2812168921,0,4331,1,FIRST_AC,female,5
3515881329,1,710,0,FIRST_AC,male,3
4013452445,1,994,0,FIRST_AC,male,2
1722390038,1,994,0,FIRST_AC,male,1
3126678759,0,1562,3,FIRST_AC,male,1
1018189574,0,1562,3,FIRST_AC,female,1
2752761266,0,1562,3,FIRST_AC,male,3
135763329,0,1562,3,FIRST_AC,female,3
751374652,1,852,0,FIRST_AC,male,4
2450408484,0,852,0,FIRST_AC,female,0
3924676625,1,1207,1,FIRST_AC,male,3
1655713022,0,1207,1,FIRST_AC,female,7
2074959821,1,1136,1,FIRST_AC,male,4
2958239824,0,1136,1,FIRST_AC,female,4
1002840461,0,1065,1,FIRST_AC,male,2
1335938436,0,1065,1,FIRST_AC,female,3
1473251508,0,2556,0,FIRST_AC,female,3
2779170466,0,1278,0,FIRST_AC,female,3
1593971655,0,852,0,FIRST_AC,male,4
3343731831,0,1065,1,FIRST_AC,female,0
4227583555,1,710,0,FIRST_AC,male,0
4135916145,1,1633,1,FIRST_AC,male,2
864792900,0,1633,1,FIRST_AC,female,2
3310596408,0,1775,0,FIRST_AC,female,2
3476191610,1,1065,0,FIRST_AC,male,0
3743723392,1,852,0,FIRST_AC,male,4
287921891,0,1278,2,FIRST_AC,female,3
3594276050,1,1278,2,FIRST_AC,male,3
239633001,0,1278,2,FIRST_AC,female,6
3886928609,0,852,2,FIRST_AC,female,5
2432055747,1,852,0,FIRST_AC,male,0
3044606368,1,1207,2,FIRST_AC,male,7
3667647485,0,1207,2,FIRST_AC,female,3
1916252772,0,852,2,FIRST_AC,female,6
3650633887,1,1207,1,FIRST_AC,male,3
3826302661,0,1207,1,FIRST_AC,female,3
2132111592,0,852,0,FIRST_AC,male,5
537814143,0,923,0,FIRST_AC,male,2
248900860,0,1775,0,FIRST_AC,female,3
3954774396,1,1065,1,FIRST_AC,male,3
2701154349,0,1065,3,FIRST_AC,female,2
3972371824,0,1065,1,FIRST_AC,male,3
3544689437,0,1065,1,FIRST_AC,female,1
4077850127,0,1278,2,FIRST_AC,male,5
1179420194,0,1278,2,FIRST_AC,male,0
1876243408,0,1278,2,FIRST_AC,female,5
1464721018,1,1420,1,FIRST_AC,male,5
799062744,0,2414,2,FIRST_AC,female,2
1622540249,0,1420,1,FIRST_AC,female,4
3825131499,0,923,1,FIRST_AC,female,4
2553228374,0,1065,1,FIRST_AC,male,4
2168191447,1,852,0,FIRST_AC,male,3
2148596975,0,1278,1,FIRST_AC,female,2
2771172806,0,2272,0,FIRST_AC,female,3
2247092921,0,1207,1,FIRST_AC,female,5
4145903794,1,923,0,FIRST_AC,female,3
3544566363,1,2272,0,FIRST_AC,male,0
2364397973,0,923,0,FIRST_AC,female,0
1273360416,0,1491,0,FIRST_AC,female,0
1531525523,0,852,0,FIRST_AC,male,3
969184426,1,852,0,FIRST_AC,male,3
3371811437,0,2556,5,FIRST_AC,female,2
3675461550,0,2556,5,FIRST_AC,female,2
1126750372,0,2556,5,FIRST_AC,female,2
3789178439,1,2556,5,FIRST_AC,male,1
2805915913,1,2556,5,FIRST_AC,male,6
632953662,0,2556,5,FIRST_AC,female,6
2031508174,0,1065,0,FIRST_AC,female,3
3131813545,1,852,0,FIRST_AC,male,0
2012826839,0,1633,2,FIRST_AC,male,5
2904475365,0,852,1,FIRST_AC,male,4
2358118925,0,1633,1,FIRST_AC,female,0
2555563590,0,994,2,FIRST_AC,female,2
3025292935,0,1207,2,FIRST_AC,male,6
883416609,0,1207,2,FIRST_AC,female,4
3905774710,1,710,0,FIRST_AC,male,0
1306285616,1,1065,1,FIRST_AC,male,3
2247143090,0,1065,1,FIRST_AC,female,3
1901665303,1,923,0,FIRST_AC,male,4
1596656792,0,2201,0,FIRST_AC,female,3
1359157416,0,1065,1,FIRST_AC,female,2
108299364,0,1065,1,FIRST_AC,female,4
4031545898,1,1207,0,FIRST_AC,male,2
989819672,0,1278,1,FIRST_AC,male,4
74138890,0,1278,1,FIRST_AC,female,0
2974670288,1,923,0,FIRST_AC,male,7
350398421,0,852,0,FIRST_AC,male,5
4234085747,0,923,0,FIRST_AC,female,1
255220928,1,1775,1,FIRST_AC,male,3
1647410597,0,1775,1,FIRST_AC,female,5
989744972,0,1136,1,FIRST_AC,male,2
2253373910,0,1136,1,FIRST_AC,female,4
940539033,1,1207,0,FIRST_AC,male,4
32593072,0,1065,1,FIRST_AC,male,2
664766652,0,1065,1,FIRST_AC,female,2
338495304,0,1207,1,FIRST_AC,male,4
544790667,0,1207,1,FIRST_AC,female,4
2059103050,1,994,0,FIRST_AC,male,0
409094339,1,1278,1,FIRST_AC,male,4
735421327,0,1278,1,FIRST_AC,female,3
2450839490,1,710,0,FIRST_AC,male,4
1512110208,0,1207,0,FIRST_AC,male,2
1252641952,0,923,0,FIRST_AC,male,0
287335532,0,1278,0,FIRST_AC,female,2
3815785697,1,1349,2,FIRST_AC,male,5
90006867,0,1349,2,FIRST_AC,female,5
856962182,1,994,0,FIRST_AC,male,4
1966963148,1,1065,0,FIRST_AC,male,0
541122122,1,1065,0,FIRST_AC,male,5
1778013376,0,1065,1,FIRST_AC,female,1
88113871,0,1065,1,FIRST_AC,female,4
540077163,0,1207,1,FIRST_AC,female,5
1627663343,1,1065,1,FIRST_AC,male,4
2487307755,0,1065,1,FIRST_AC,female,3
4124558882,0,852,0,FIRST_AC,male,3
236420472,0,1349,1,FIRST_AC,male,3
4231573125,1,923,0,FIRST_AC,male,0
3495476409,0,1349,1,FIRST_AC,female,3
4266963855,0,1278,0,FIRST_AC,female,3
3358631204,1,852,0,FIRST_AC,female,5
1196843630,0,710,0,FIRST_AC,male,4
155463568,1,852,0,FIRST_AC,male,4
1299013717,1,852,0,FIRST_AC,male,5
3672998441,1,2201,0,FIRST_AC,male,3
1186482348,1,852,0,FIRST_AC,male,5
3199136829,1,1065,1,FIRST_AC,male,4
2505392381,0,1065,1,FIRST_AC,female,0
3321526230,0,1065,1,FIRST_AC,male,4
1815560974,0,1065,1,FIRST_AC,female,4
1656966309,1,852,0,FIRST_AC,male,0
3380496255,0,2201,0,FIRST_AC,female,3
1641598097,0,852,0,FIRST_AC,female,4
1135129874,0,1420,0,FIRST_AC,female,3
3885223679,0,4331,0,FIRST_AC,male,3
166408126,1,852,0,FIRST_AC,male,0
4087055439,1,852,0,FIRST_AC,male,4
1801745166,0,852,0,FIRST_AC,female,5
3260507980,0,923,1,FIRST_AC,female,1
246725092,0,923,1,FIRST_AC,female,5
2845760084,1,923,0,FIRST_AC,male,2
2950275634,0,1207,0,FIRST_AC,female,2
630912751,1,994,0,FIRST_AC,male,3
473803961,0,1704,0,FIRST_AC,female,5
2468866119,0,2201,1,FIRST_AC,female,1
721627059,1,852,0,FIRST_AC,male,3
754640370,0,1278,0,FIRST_AC,female,1
4025529405,0,852,0,FIRST_AC,male,0
1133991206,1,1065,1,FIRST_AC,male,1
1326639273,0,1065,1,FIRST_AC,female,1
4007816185,0,994,0,FIRST_AC,female,2
89425966,1,1207,0,FIRST_AC,male,4
2360529352,1,1065,0,FIRST_AC,male,5
1393472428,0,852,0,FIRST_AC,male,3
857290748,1,1278,1,FIRST_AC,male,2
3271156202,0,1278,1,FIRST_AC,female,0
2613140768,1,852,0,FIRST_AC,male,6
797364614,1,1349,2,FIRST_AC,male,4
3430931661,0,1349,1,FIRST_AC,female,3
4037052754,0,1349,1,FIRST_AC,female,3
1405460611,0,1065,1,FIRST_AC,male,3
585534727,1,923,0,FIRST_AC,male,5
2875291322,1,994,0,FIRST_AC,male,4
205170136,1,852,1,FIRST_AC,male,3
1085701638,0,1491,1,FIRST_AC,female,3
488031103,0,1491,1,FIRST_AC,female,2
3707762222,1,1491,2,FIRST_AC,male,5
293702704,0,852,2,FIRST_AC,female,1
1967938643,1,852,0,FIRST_AC,male,6
3834574171,0,1420,0,FIRST_AC,female,3
2902336456,0,852,0,FIRST_AC,male,0
382495076,0,1136,1,FIRST_AC,female,2
2650537457,1,1136,1,FIRST_AC,male,6
193733149,1,852,0,FIRST_AC,male,2
3806312660,1,710,0,FIRST_AC,male,0
3420172331,1,852,0,FIRST_AC,male,4
3515564110,1,1349,0,FIRST_AC,male,2
207532447,1,1136,1,FIRST_AC,male,2
2284975406,0,1136,1,FIRST_AC,female,2
3497471463,1,1420,1,FIRST_AC,male,1
2596974543,0,1420,1,FIRST_AC,female,1
4253591788,0,1349,0,FIRST_AC,female,3
788652541,0,923,0,FIRST_AC,male,5
1867286033,1,1065,0,FIRST_AC,male,4
2226459070,0,1278,1,FIRST_AC,female,5
3159925216,1,710,0,FIRST_AC,male,3
1715177706,0,923,0,FIRST_AC,male,0
1126023492,1,1633,0,FIRST_AC,male,2
1770507292,1,2272,0,FIRST_AC,male,0
4008354466,0,2201,1,FIRST_AC,female,4
2644229710,1,1065,0,FIRST_AC,male,3
3822443988,0,852,0,FIRST_AC,male,4
3026185690,1,1065,0,FIRST_AC,male,0
464042170,0,852,0,FIRST_AC,female,3
3876828159,1,1207,0,FIRST_AC,male,4
76970183,1,994,0,FIRST_AC,male,3
3693075801,0,1278,0,FIRST_AC,female,3
1314459177,1,1065,1,FIRST_AC,male,5
1767179752,0,1065,1,FIRST_AC,female,5
655552798,1,852,0,FIRST_AC,male,3
81244516,0,2556,4,FIRST_AC,male,1
518983891,0,2556,4,FIRST_AC,female,1
769118997,0,2556,4,FIRST_AC,female,2
2378034696,1,2556,4,FIRST_AC,male,6
1622882321,0,2556,4,FIRST_AC,female,4
4094410555,0,923,0,FIRST_AC,male,0
3734648288,0,1136,0,FIRST_AC,female,2
3670381849,0,852,0,FIRST_AC,male,0
154506414,0,1065,1,FIRST_AC,female,3
3496314300,0,923,0,FIRST_AC,female,3
3143486340,0,852,0,FIRST_AC,male,3
4009009723,0,1775,0,FIRST_AC,female,4
3846772894,0,852,0,FIRST_AC,male,3
4091445512,1,1065,1,FIRST_AC,male,5
951636924,0,1065,1,FIRST_AC,female,3
4201709845,0,923,0,FIRST_AC,male,5
3626056029,0,923,0,FIRST_AC,male,2
843855259,1,852,0,FIRST_AC,male,5
4248051182,1,923,0,FIRST_AC,male,5
1908512042,1,1136,1,FIRST_AC,male,2
3163282817,1,852,0,FIRST_AC,male,0
1231538849,0,1136,1,FIRST_AC,female,1
4089657265,0,1278,1,FIRST_AC,male,2
2044836531,0,1278,1,FIRST_AC,female,2
3904676851,0,1633,2,FIRST_AC,male,0
175319143,0,1633,2,FIRST_AC,male,4
1197466433,0,1633,2,FIRST_AC,female,4
3943026682,1,1704,1,FIRST_AC,male,5
3815357550,0,1704,1,FIRST_AC,female,0
672738880,0,923,0,FIRST_AC,male,3
4118167324,1,852,0,FIRST_AC,male,6
2383054502,0,1065,1,FIRST_AC,male,5
993151071,0,1065,1,FIRST_AC,female,4
2779058288,0,1207,1,FIRST_AC,female,5
3658579285,1,852,0,FIRST_AC,male,0
2393974364,0,1278,0,FIRST_AC,female,6
308145610,1,2272,1,FIRST_AC,male,6
1753717046,1,2272,1,FIRST_AC,female,6
643397390,1,923,0,FIRST_AC,male,6
2715160069,0,852,0,FIRST_AC,female,4
521511229,0,1207,2,FIRST_AC,female,1
436773662,1,1207,2,FIRST_AC,male,5
2466734432,0,1207,2,FIRST_AC,female,3
2341986980,0,1065,1,FIRST_AC,male,4
3465003456,0,1065,1,FIRST_AC,female,0
18246592,1,1491,2,FIRST_AC,male,4
1971095711,0,1491,2,FIRST_AC,male,1
1860717783,0,1491,2,FIRST_AC,female,3
4244721184,0,1207,0,FIRST_AC,female,0
4230928089,0,852,0,FIRST_AC,male,3
4109181016,1,852,0,FIRST_AC,male,4
2191296988,1,923,0,FIRST_AC,male,6
1250922285,1,923,0,FIRST_AC,male,4
2796520312,0,4331,0,FIRST_AC,female,3
2895475061,1,1207,1,FIRST_AC,male,6
2970296249,0,1207,1,FIRST_AC,female,6
2761947663,1,852,0,FIRST_AC,male,6
2034086683,1,1207,1,FIRST_AC,male,5
2232801677,1,1207,1,FIRST_AC,male,2
1717525441,0,1633,0,FIRST_AC,female,5
789982524,0,1846,2,FIRST_AC,female,3
3502164164,1,1846,2,FIRST_AC,male,5
1669415926,0,1846,2,FIRST_AC,female,4
3248386211,1,2201,2,FIRST_AC,male,5
1547970648,1,2201,2,FIRST_AC,male,2
2552315917,0,2201,2,FIRST_AC,female,5
3633624742,0,852,0,FIRST_AC,female,2
1198871995,1,1136,1,FIRST_AC,male,5
3310104876,0,1136,1,FIRST_AC,male,2
1344265927,1,923,0,FIRST_AC,male,0
216352926,0,1633,0,FIRST_AC,female,3
70885446,0,923,0,FIRST_AC,male,0
3967052794,1,852,0,FIRST_AC,male,6
644571082,0,1633,0,FIRST_AC,female,3
451037269,1,852,1,SECOND_AC,male,3
1743303220,0,852,1,SECOND_AC,female,2
893728331,1,781,0,SECOND_AC,male,3
4080010588,1,781,0,SECOND_AC,male,1
124473010,1,781,0,SECOND_AC,male,2
2018742279,1,852,1,SECOND_AC,male,3
3764600594,0,852,1,SECOND_AC,female,3
486200577,1,781,0,SECOND_AC,male,5
833898304,1,781,0,SECOND_AC,male,1
2661077799,1,781,0,SECOND_AC,male,2
2802502400,0,781,0,SECOND_AC,female,3
3155357792,1,781,0,SECOND_AC,male,2
3879109994,1,781,0,SECOND_AC,male,5
3921761396,0,852,1,SECOND_AC,male,3
3771198246,0,852,1,SECOND_AC,female,1
3887479741,1,852,0,SECOND_AC,male,2
3955322503,0,923,3,SECOND_AC,male,0
751029469,0,923,3,SECOND_AC,female,0
58651130,0,923,3,SECOND_AC,female,1
2376063096,0,923,3,SECOND_AC,female,3
4135983888,0,781,0,SECOND_AC,male,3
2315362404,0,781,0,SECOND_AC,female,1
1727488568,1,781,0,SECOND_AC,male,2
2752833937,1,781,0,SECOND_AC,male,2
472757273,1,781,0,SECOND_AC,male,4
1145548278,1,781,0,SECOND_AC,male,2
164415748,0,781,0,SECOND_AC,female,2
996959037,0,923,2,SECOND_AC,female,1
3644831661,1,923,2,SECOND_AC,male,6
532330317,0,923,2,SECOND_AC,female,4
1515321979,0,852,1,SECOND_AC,female,2
2831952049,1,852,1,SECOND_AC,male,2
92348285,0,781,0,SECOND_AC,female,3
4257374016,1,781,0,SECOND_AC,male,2
813279679,1,781,0,SECOND_AC,male,4
1524003379,0,781,0,SECOND_AC,female,4
348374138,0,852,2,SECOND_AC,male,0
2500740753,0,852,2,SECOND_AC,male,2
4203280741,0,852,2,SECOND_AC,female,2
237746809,0,852,0,SECOND_AC,female,3
3476353030,1,710,0,SECOND_AC,male,0
1329351536,1,781,0,SECOND_AC,male,1
4043976935,1,852,1,SECOND_AC,female,4
592733623,1,852,1,SECOND_AC,male,5
2967105794,1,781,0,SECOND_AC,male,5
1687009259,1,852,1,SECOND_AC,male,3
3480553080,1,852,1,SECOND_AC,female,2
3603816033,0,923,2,SECOND_AC,female,2
847253616,0,923,2,SECOND_AC,female,4
856342635,1,852,1,SECOND_AC,male,2
1100635685,0,852,1,SECOND_AC,female,2
3303919785,1,781,0,SECOND_AC,male,2
2451000405,1,781,0,SECOND_AC,male,2
1124865059,0,781,0,SECOND_AC,male,2
4228172766,0,852,2,SECOND_AC,female,0
4121682454,1,852,2,SECOND_AC,male,3
2332156133,0,852,2,SECOND_AC,female,3
3628037443,0,781,0,SECOND_AC,female,2
3362553157,1,781,0,SECOND_AC,female,3
699947777,1,852,0,SECOND_AC,female,0
40017005,1,781,0,SECOND_AC,male,2
2789737848,1,710,0,SECOND_AC,male,0
3001651306,0,923,2,SECOND_AC,male,0
4035587919,1,1207,0,SECOND_AC,male,1
1631984997,0,923,2,SECOND_AC,female,4
2608308381,0,781,0,SECOND_AC,female,2
1354187360,1,781,0,SECOND_AC,male,3
2832649250,1,1207,0,SECOND_AC,male,1
3287906013,1,852,1,SECOND_AC,male,2
940546890,0,852,1,SECOND_AC,female,2
547352987,1,923,0,SECOND_AC,male,2
2105971329,1,1207,0,SECOND_AC,male,1
2353143295,0,852,1,SECOND_AC,female,1
916660923,0,852,1,SECOND_AC,female,3
4205407583,1,852,0,SECOND_AC,male,5
658566179,0,923,2,SECOND_AC,male,0
1160996816,1,923,2,SECOND_AC,male,4
439071604,0,923,2,SECOND_AC,female,3
1669372543,0,781,1,SECOND_AC,female,2
720004499,0,781,1,SECOND_AC,female,3
3154658615,1,781,0,SECOND_AC,male,2
2832258310,1,781,0,SECOND_AC,male,2
3266800973,1,781,0,SECOND_AC,male,1
1111532195,1,852,1,SECOND_AC,male,4
1291560470,0,852,1,SECOND_AC,female,2
765560578,1,781,0,SECOND_AC,male,1
1401800543,1,781,0,SECOND_AC,male,3
3578328205,1,710,0,SECOND_AC,male,0
23689310,1,781,0,SECOND_AC,female,3
2506127744,1,852,0,SECOND_AC,male,3
2440443704,1,852,1,SECOND_AC,male,3
233626526,1,852,1,SECOND_AC,male,3
2718212088,0,781,0,SECOND_AC,female,3
1987924526,1,852,0,SECOND_AC,male,1
4263940410,1,781,0,SECOND_AC,male,2
1384844799,1,781,0,SECOND_AC,male,4
798352120,1,781,1,SECOND_AC,male,2
4254382476,1,781,1,SECOND_AC,male,2
1002073285,1,781,0,SECOND_AC,male,2
1729685894,1,781,0,SECOND_AC,male,2
2140024436,1,781,0,SECOND_AC,male,3
4282869561,1,781,0,SECOND_AC,male,3
385941504,1,781,0,SECOND_AC,male,5
1207949280,1,781,0,SECOND_AC,male,3
932728203,0,781,2,SECOND_AC,male,0
3260218182,0,781,2,SECOND_AC,female,2
833072409,1,781,0,SECOND_AC,male,4
